left_company,department,job_level,salary,weekly_hours,business_travel,yrs_at_company,yrs_since_promotion,previous_companies,job_satisfaction,performance_rating,marital_status,miles_from_home
No,Product Development,Senior Manager,93904.69066232802,50,None,4,1,3,High,Meets Expectations,Divorced,11
Yes,Finance and Operations,Manager,56461.39339725681,58,Rarely,5,0,3,Low,Minimally Effective,Single,9
No,Marketing,Senior Manager,97465.28552755847,50,Rarely,12,2,2,Medium,Exceeds Expectations,Single,7
No,Marketing,Manager,69888.14471677397,47,Rarely,0,0,2,Very High,Meets Expectations,Single,15
Yes,Marketing,Director,108649.197004909,54,Rarely,4,1,3,Low,Meets Expectations,Single,6
No,Marketing,Manager,62391.23269133649,51,Rarely,14,4,1,High,Meets Expectations,Divorced,5
Yes,Research,Director,119443.17090093017,62,Frequently,10,6,6,Low,Meets Expectations,Single,16
No,Sales,Senior Manager,84021.07212572271,41,Rarely,9,4,3,Medium,Exceeds Expectations,Married,8
No,Research,Director,116974.13837028858,49,Rarely,22,5,1,Very High,Exceptional,Married,7
No,Marketing,Associate,37230.24501786173,51,Rarely,2,2,2,Low,Exceeds Expectations,Single,2
No,Marketing,Manager,73141.96624142863,49,Rarely,1,0,1,Very High,Meets Expectations,Single,2
No,Sales,Director,119629.23265604652,45,Rarely,4,1,2,Very High,Meets Expectations,Married,10
No,Marketing,Director,126658.0149951985,50,Rarely,10,1,2,High,Not Effective,Single,9
Yes,Product Development,Senior Manager,98022.30895556397,58,Rarely,1,0,5,Very High,Minimally Effective,Married,5
Yes,Marketing,Senior Manager,93320.47573642501,57,Rarely,2,2,3,Very High,Minimally Effective,Married,1
No,IT and Analytics,Director,130978.67249900583,42,Rarely,5,1,1,High,Meets Expectations,Divorced,2
Yes,Sales,Associate,38538.66252334753,57,Rarely,3,0,6,High,Minimally Effective,Married,3
No,Research,Senior Manager,82753.16746084712,55,Rarely,2,2,3,Very High,Meets Expectations,Married,2
No,Product Development,Senior Manager,84914.24025593243,48,Rarely,1,0,2,Low,Meets Expectations,Married,5
No,Product Development,Director,122196.64979906852,46,Frequently,5,1,7,Low,Meets Expectations,Married,1
No,IT and Analytics,Senior Manager,82673.80782846546,52,Rarely,1,0,2,Very High,Exceptional,Divorced,4
No,IT and Analytics,Director,128104.54978047547,48,Rarely,1,0,3,Low,Meets Expectations,Divorced,2
Yes,Marketing,Associate,41806.43028781152,55,Rarely,1,0,5,High,Meets Expectations,Single,25
No,Research,Senior Manager,97033.72456583162,48,Frequently,9,1,2,High,Exceeds Expectations,Single,8
No,IT and Analytics,Director,125487.85575839183,50,Frequently,12,3,1,Very High,Not Effective,Single,1
Yes,Research,Manager,58286.26804173852,62,Rarely,22,15,4,High,Not Effective,Married,12
No,IT and Analytics,Manager,55826.65871000593,51,None,9,8,1,High,Meets Expectations,Single,23
No,IT and Analytics,Manager,62669.328767888794,51,Rarely,1,0,3,Medium,Minimally Effective,Married,19
No,Research,Senior Manager,93953.34107741185,55,Frequently,9,0,6,Very High,Exceeds Expectations,Single,5
No,Marketing,Director,122057.3679033473,52,Rarely,1,0,3,Very High,Exceptional,Married,8
Yes,Product Development,Manager,76106.17861020468,60,Rarely,1,0,5,High,Not Effective,Single,1
Yes,Marketing,Associate,40426.27700579048,59,Rarely,2,2,4,High,Minimally Effective,Single,5
No,Marketing,Senior Manager,95289.47954869067,45,Rarely,4,1,2,Low,Exceeds Expectations,Divorced,1
No,Product Development,Vice President,173106.92816356264,49,None,4,2,2,Low,Exceeds Expectations,Married,11
No,Sales,Manager,65729.97842793111,44,Rarely,2,0,3,Very High,Meets Expectations,Married,23
No,IT and Analytics,Manager,66474.67926824976,51,Frequently,15,8,5,Very High,Meets Expectations,Single,1
No,Research,Senior Manager,96532.02421825912,45,Frequently,9,1,2,Low,Exceeds Expectations,Married,18
No,IT and Analytics,Manager,78620.99374210325,44,Rarely,2,2,3,Low,Meets Expectations,Married,23
No,Marketing,Senior Manager,92033.48953456614,48,Rarely,7,1,3,Very High,Exceptional,Divorced,7
No,Research,Director,109844.03257517997,45,Rarely,7,0,1,High,Exceeds Expectations,Divorced,1
No,Finance and Operations,Director,125861.28377099466,45,Rarely,9,7,2,Very High,Exceeds Expectations,Married,1
No,IT and Analytics,Vice President,208804.38508521498,51,Frequently,10,9,3,Very High,Exceeds Expectations,Single,29
No,Research,Director,122721.91628515019,45,Rarely,27,13,2,High,Exceeds Expectations,Divorced,7
No,Finance and Operations,Manager,64558.448713273625,50,Rarely,21,7,2,Low,Minimally Effective,Single,25
No,Finance and Operations,Manager,63284.741932886995,54,Rarely,17,12,2,High,Meets Expectations,Divorced,8
No,IT and Analytics,Manager,79599.7770356845,52,Rarely,5,0,7,High,Minimally Effective,Divorced,8
No,IT and Analytics,Associate,36913.313131414354,46,Frequently,6,0,3,Medium,Exceptional,Single,11
No,Product Development,Director,116325.33931081058,51,Rarely,1,0,2,Low,Exceeds Expectations,Divorced,7
No,IT and Analytics,Senior Manager,79184.52480174112,43,Frequently,3,1,2,Low,Meets Expectations,Married,1
Yes,Marketing,Manager,66679.03178607955,60,Rarely,1,0,6,High,Minimally Effective,Married,9
No,Marketing,Senior Manager,88722.1405249435,49,Frequently,4,1,6,High,Exceeds Expectations,Single,1
No,Marketing,Vice President,179739.34193847637,47,Rarely,5,0,6,Medium,Meets Expectations,Married,2
No,Sales,Senior Manager,93138.30945159463,46,Rarely,1,1,3,Medium,Exceptional,Single,1
No,IT and Analytics,Director,112409.36590591932,50,Rarely,10,0,3,Medium,Exceeds Expectations,Married,1
No,IT and Analytics,Director,117334.80256278548,47,Rarely,1,0,3,Very High,Exceeds Expectations,Married,6
No,IT and Analytics,Vice President,182882.15312483363,48,Rarely,11,1,3,Very High,Exceeds Expectations,Single,8
No,Sales,Vice President,192416.17031285568,45,Rarely,15,2,2,Low,Meets Expectations,Single,1
No,IT and Analytics,Senior Manager,83577.43934229753,47,Rarely,0,0,2,Low,Minimally Effective,Married,6
No,Marketing,Senior Manager,93590.29811295882,47,Rarely,5,0,3,High,Exceeds Expectations,Single,7
No,Research,Director,128579.57684271334,44,Rarely,4,0,2,Medium,Exceeds Expectations,Divorced,5
No,Finance and Operations,Director,110540.69084442031,46,Rarely,10,3,1,Very High,Exceeds Expectations,Married,1
No,Marketing,Senior Manager,104988.64098294836,51,Rarely,6,0,3,High,Exceeds Expectations,Single,1
No,IT and Analytics,Manager,68110.29763957427,49,Rarely,1,1,3,Very High,Meets Expectations,Married,1
No,Research,Senior Manager,84982.22420317626,48,None,13,1,2,Very High,Exceeds Expectations,Divorced,6
No,Research,Director,122685.67013293976,42,Rarely,5,1,3,Medium,Exceeds Expectations,Married,1
No,Research,Senior Manager,81509.28414315234,46,Rarely,6,0,2,Very High,Meets Expectations,Single,7
No,Research,Director,128939.48359404274,49,Rarely,0,0,3,Low,Meets Expectations,Divorced,2
No,IT and Analytics,Senior Manager,78161.40344698558,49,Rarely,4,0,4,Very High,Exceptional,Married,9
No,Research,Associate,38353.51139819249,49,Rarely,11,10,2,Very High,Meets Expectations,Married,2
Yes,Marketing,Director,121159.14413966429,59,Rarely,9,4,5,Very High,Meets Expectations,Single,9
No,IT and Analytics,Senior Manager,83902.52492427813,46,Frequently,22,11,1,Medium,Exceeds Expectations,Married,1
No,IT and Analytics,Senior Manager,90604.5576440219,45,Rarely,10,1,4,Very High,Exceptional,Single,21
No,IT and Analytics,Director,115967.98520650505,49,Rarely,11,2,7,Medium,Exceptional,Divorced,4
No,IT and Analytics,Manager,73126.89316178551,45,Frequently,10,9,3,Low,Exceeds Expectations,Married,1
No,Product Development,Associate,34865.913164302896,48,Rarely,11,5,5,High,Meets Expectations,Single,6
No,Sales,Vice President,193684.13664113916,44,Rarely,4,0,3,High,Exceeds Expectations,Married,2
No,Research,Director,117906.67030862499,43,Rarely,3,0,1,High,Exceeds Expectations,Married,3
No,Sales,Director,116509.56421354547,48,None,5,0,1,High,Exceeds Expectations,Married,4
No,Sales,Manager,72983.545117114,46,Rarely,37,1,1,High,Meets Expectations,Single,10
No,IT and Analytics,Director,125440.62216539301,49,None,3,1,1,Medium,Exceeds Expectations,Married,23
Yes,Finance and Operations,Manager,76027.07405188089,58,Rarely,3,0,6,Low,Meets Expectations,Divorced,6
No,Sales,Director,123313.59702100471,52,Rarely,1,0,2,Low,Meets Expectations,Single,1
Yes,Product Development,Associate,43042.02668083031,59,Frequently,1,1,3,Very High,Meets Expectations,Single,6
No,Finance and Operations,Senior Manager,80080.37512396243,52,Rarely,16,2,3,High,Meets Expectations,Single,6
No,Marketing,Manager,67349.18620840783,49,None,1,0,2,Very High,Meets Expectations,Divorced,2
No,IT and Analytics,Manager,73332.07969767318,48,None,3,2,5,Very High,Exceptional,Married,2
No,Product Development,Director,111712.71695215645,46,Frequently,8,0,3,Medium,Meets Expectations,Married,1
Yes,Product Development,Manager,63276.13310419727,64,Rarely,6,0,5,High,Not Effective,Single,5
No,Finance and Operations,Senior Manager,85979.51156448103,47,Rarely,2,2,3,Very High,Exceeds Expectations,Married,7
No,Research,Vice President,160239.54250992057,46,Rarely,0,0,1,Very High,Exceeds Expectations,Single,15
No,IT and Analytics,Associate,33584.970667327645,49,Frequently,13,12,6,Low,Meets Expectations,Single,1
Yes,Sales,Manager,82915.99177174964,63,Frequently,9,0,6,High,Not Effective,Single,7
No,Sales,Manager,63545.36934123364,50,None,5,4,3,Very High,Meets Expectations,Single,26
No,Marketing,Senior Manager,91811.45542682326,50,Rarely,5,1,3,High,Meets Expectations,Married,18
No,IT and Analytics,Director,115697.3680442786,44,Rarely,1,0,2,Medium,Exceeds Expectations,Divorced,6
No,Research,Senior Manager,82635.20586105787,49,Rarely,5,1,3,Very High,Exceptional,Single,3
No,Marketing,Director,118572.73758806904,49,Rarely,11,5,4,Low,Meets Expectations,Single,5
No,IT and Analytics,Manager,76472.40603715336,51,Frequently,9,2,3,Very High,Exceptional,Married,11
No,Product Development,Associate,38231.06793968729,50,Rarely,1,0,5,Very High,Meets Expectations,Divorced,3
No,IT and Analytics,Associate,33540.6134592988,48,Frequently,25,4,2,Very High,Minimally Effective,Married,26
No,Marketing,Director,126568.88841768181,47,Frequently,10,0,3,High,Meets Expectations,Divorced,23
No,IT and Analytics,Associate,35993.64864321018,50,None,7,0,5,Medium,Meets Expectations,Married,22
Yes,IT and Analytics,Associate,45989.352092010915,58,Rarely,5,4,4,Medium,Minimally Effective,Married,14
No,Marketing,Vice President,187709.29955712293,45,Rarely,20,15,2,High,Exceptional,Single,6
Yes,Marketing,Associate,35987.17634275765,55,Rarely,7,7,6,High,Exceeds Expectations,Married,6
No,IT and Analytics,Director,122057.3281611871,49,Rarely,5,4,6,Medium,Exceptional,Married,6
Yes,Sales,Associate,37529.10681278883,60,Rarely,40,15,4,Very High,Meets Expectations,Married,23
Yes,Finance and Operations,Senior Manager,85563.36131992535,64,Rarely,0,0,6,High,Meets Expectations,Single,22
No,IT and Analytics,Senior Manager,78351.84334442229,49,Rarely,2,2,1,Very High,Exceptional,Married,2
No,Sales,Director,122484.24770240499,47,Rarely,15,5,6,Low,Minimally Effective,Married,20
No,Marketing,Director,114721.32915863222,55,Frequently,3,1,5,High,Meets Expectations,Single,28
No,IT and Analytics,Director,117279.93520315338,48,Frequently,2,2,3,Very High,Meets Expectations,Single,12
Yes,Sales,Associate,44875.00988216345,59,Rarely,2,2,5,High,Meets Expectations,Married,20
No,Research,Director,127220.25247275167,49,Rarely,9,0,6,High,Meets Expectations,Divorced,9
No,Sales,Senior Manager,100956.5566349324,50,Rarely,8,5,2,High,Meets Expectations,Married,25
No,IT and Analytics,Senior Manager,101692.7092186024,45,Rarely,3,0,3,Medium,Exceeds Expectations,Divorced,6
Yes,Marketing,Associate,44423.69570262391,66,Frequently,4,0,3,Very High,Exceeds Expectations,Single,8
No,Product Development,Senior Manager,84567.91045720056,46,Rarely,15,5,3,High,Exceeds Expectations,Married,4
No,Research,Senior Manager,92973.42477340031,51,Rarely,2,2,6,High,Exceeds Expectations,Married,28
No,Marketing,Manager,69638.41596009336,47,Rarely,11,4,3,Very High,Exceeds Expectations,Married,9
Yes,Sales,Senior Manager,95996.49424901746,60,Rarely,5,0,6,Low,Exceeds Expectations,Single,9
No,IT and Analytics,Senior Manager,90698.32580867031,50,Rarely,6,0,3,Very High,Exceptional,Single,29
No,Finance and Operations,Director,115317.8673238789,47,Rarely,3,2,3,High,Exceeds Expectations,Single,3
No,Research,Manager,64655.38432595163,44,Rarely,5,0,5,High,Meets Expectations,Single,18
No,IT and Analytics,Senior Manager,78870.25328476039,46,Frequently,8,0,3,Very High,Meets Expectations,Divorced,9
No,Research,Senior Manager,83462.5302184044,49,Rarely,3,2,2,Low,Exceptional,Divorced,5
No,Research,Associate,38374.530256832775,46,Rarely,5,1,3,Very High,Exceeds Expectations,Single,2
No,Marketing,Senior Manager,82281.79709507128,53,Frequently,7,7,1,Low,Exceptional,Divorced,10
No,Sales,Senior Manager,70302.90261279019,47,Rarely,5,1,2,Low,Meets Expectations,Married,9
No,IT and Analytics,Manager,71290.61548780849,44,Rarely,1,0,2,Medium,Meets Expectations,Single,3
No,Product Development,Director,126096.91889439148,43,Frequently,20,2,3,Medium,Exceeds Expectations,Divorced,26
No,IT and Analytics,Director,117307.60701049535,47,Rarely,10,0,4,Medium,Exceptional,Married,1
No,Sales,Associate,42255.86859456758,54,Rarely,7,4,2,High,Exceptional,Married,6
No,IT and Analytics,Vice President,168354.16317414836,44,Rarely,17,0,4,Medium,Meets Expectations,Divorced,9
No,Research,Vice President,177920.82741119654,50,Frequently,9,3,3,Very High,Exceeds Expectations,Single,8
No,Finance and Operations,Director,113820.58337768246,52,None,10,0,7,High,Exceeds Expectations,Married,1
No,Finance and Operations,Manager,60882.983658122,45,Rarely,1,0,3,High,Exceptional,Married,7
No,IT and Analytics,Director,123535.31855679923,47,Rarely,1,0,5,Medium,Exceeds Expectations,Married,9
No,Marketing,Director,118187.6716139579,54,Rarely,12,2,6,Very High,Minimally Effective,Married,4
No,Research,Vice President,189161.50088042772,45,Frequently,4,1,5,High,Exceeds Expectations,Married,2
No,Product Development,Manager,67455.56592945661,45,Rarely,2,2,3,Very High,Meets Expectations,Married,19
No,Sales,Senior Manager,94914.33507458583,51,None,2,2,1,Medium,Exceeds Expectations,Divorced,9
No,Marketing,Vice President,191915.04502600463,45,Rarely,5,0,2,Very High,Meets Expectations,Married,21
No,IT and Analytics,Vice President,189356.97552898555,51,Rarely,5,1,1,Very High,Exceeds Expectations,Divorced,24
No,Marketing,Senior Manager,111266.35274012905,44,None,1,0,2,High,Meets Expectations,Divorced,3
No,IT and Analytics,Senior Manager,85945.93793752586,52,Rarely,5,4,2,Medium,Exceeds Expectations,Single,11
No,Sales,Senior Manager,94908.54784292154,47,Rarely,9,1,2,High,Exceptional,Divorced,14
No,IT and Analytics,Senior Manager,88508.54978680851,44,Rarely,10,7,2,Very High,Exceeds Expectations,Married,5
No,Sales,Director,117116.10109140408,50,Rarely,8,0,2,Very High,Exceeds Expectations,Single,1
No,Sales,Vice President,172647.77049897308,48,Rarely,5,1,3,High,Exceeds Expectations,Single,6
No,IT and Analytics,Associate,42303.837041690946,52,Rarely,5,1,3,Medium,Exceeds Expectations,Married,17
Yes,Finance and Operations,Director,130037.18623457651,54,Frequently,0,0,2,Low,Minimally Effective,Single,1
No,Product Development,Senior Manager,84186.90201938535,48,Frequently,8,7,1,Medium,Exceptional,Single,3
No,IT and Analytics,Manager,66569.74134791453,44,None,12,6,5,Low,Meets Expectations,Divorced,9
No,IT and Analytics,Director,122289.7110284151,51,Rarely,5,0,3,Low,Meets Expectations,Divorced,4
No,Marketing,Senior Manager,91116.20023516368,49,Rarely,2,2,1,Low,Exceptional,Divorced,8
No,Research,Manager,67174.1793976787,50,Rarely,3,0,2,Very High,Exceptional,Single,2
Yes,Finance and Operations,Senior Manager,92450.99792614428,60,Rarely,1,1,6,Very High,Meets Expectations,Single,2
No,IT and Analytics,Senior Manager,91732.94094719415,49,Rarely,24,15,2,Low,Meets Expectations,Divorced,1
No,Finance and Operations,Senior Manager,93434.89618658565,48,Rarely,2,2,3,Very High,Exceptional,Single,9
No,IT and Analytics,Vice President,181631.68362888202,44,Rarely,4,0,5,Very High,Exceeds Expectations,Married,12
No,Marketing,Manager,73476.7168586251,47,Rarely,3,1,2,Medium,Meets Expectations,Single,27
Yes,IT and Analytics,Manager,71713.8283736054,58,Rarely,4,0,6,Medium,Minimally Effective,Single,20
No,IT and Analytics,Senior Manager,88191.29884265177,50,Rarely,3,0,6,High,Meets Expectations,Married,1
No,Marketing,Senior Manager,80321.89932296782,53,Rarely,4,1,2,Low,Meets Expectations,Divorced,13
No,Research,Manager,79326.86145233293,50,Rarely,8,1,3,Medium,Exceeds Expectations,Married,14
No,Sales,Senior Manager,94552.49539021702,49,Rarely,20,9,2,High,Meets Expectations,Married,4
No,IT and Analytics,Senior Manager,100236.99749992418,48,Rarely,24,2,7,Medium,Exceeds Expectations,Single,14
No,Sales,Senior Manager,85085.60751208552,50,Frequently,10,1,4,High,Exceptional,Married,2
No,IT and Analytics,Senior Manager,89019.29524241104,47,Rarely,7,1,3,Medium,Exceptional,Single,3
No,Product Development,Senior Manager,101306.7423277784,54,Rarely,33,11,2,High,Exceeds Expectations,Married,1
No,IT and Analytics,Associate,39749.664573525144,49,Rarely,7,0,3,Medium,Exceeds Expectations,Single,9
Yes,Product Development,Associate,36059.98931545942,58,Rarely,1,0,5,High,Minimally Effective,Married,23
No,Product Development,Director,121131.9770362025,45,None,5,2,2,Very High,Minimally Effective,Divorced,7
No,Product Development,Vice President,187280.6103318804,51,None,20,11,3,Very High,Meets Expectations,Married,2
No,IT and Analytics,Manager,69775.47796339371,53,Rarely,8,1,3,Low,Exceeds Expectations,Married,21
No,Research,Senior Manager,90966.4793086298,48,Frequently,6,1,2,Medium,Meets Expectations,Single,2
No,Marketing,Senior Manager,107724.98652948883,49,None,5,0,2,High,Exceptional,Divorced,21
No,IT and Analytics,Senior Manager,86713.09120321361,46,Rarely,1,0,5,High,Exceptional,Married,2
No,Finance and Operations,Director,117643.54362627525,54,Rarely,7,1,3,Very High,Exceeds Expectations,Married,29
No,Research,Senior Manager,92031.70495305653,52,Frequently,2,2,3,Low,Exceptional,Married,1
No,Sales,Manager,66245.86932784309,51,None,7,1,1,Very High,Meets Expectations,Divorced,18
No,IT and Analytics,Associate,46043.57736429449,54,Frequently,5,2,1,High,Exceptional,Divorced,10
No,Research,Director,116307.65299837184,50,Rarely,7,3,3,Very High,Meets Expectations,Married,19
Yes,Product Development,Director,112853.50351402981,54,Rarely,1,0,6,Low,Minimally Effective,Married,29
Yes,Finance and Operations,Associate,41923.20366183587,57,Rarely,10,1,5,Very High,Minimally Effective,Married,27
No,Marketing,Vice President,173760.96894401885,49,Rarely,4,2,3,Medium,Meets Expectations,Divorced,5
No,IT and Analytics,Senior Manager,91566.62105072266,48,Frequently,8,1,2,Very High,Exceeds Expectations,Single,18
No,Product Development,Senior Manager,97111.36589674574,51,None,3,0,3,Very High,Exceptional,Married,9
No,Research,Vice President,193377.06885607654,50,Rarely,4,0,3,Low,Meets Expectations,Divorced,1
Yes,Product Development,Manager,64791.145674145504,53,Rarely,14,9,5,Very High,Meets Expectations,Married,4
No,Marketing,Manager,79386.65765902452,47,None,11,5,3,High,Meets Expectations,Single,1
No,IT and Analytics,Associate,38679.694739099396,52,Frequently,7,0,2,High,Exceeds Expectations,Single,20
No,Marketing,Director,128020.67098849003,47,Rarely,10,4,4,Medium,Exceeds Expectations,Married,8
Yes,IT and Analytics,Manager,68147.59528037233,54,Rarely,5,0,2,Low,Meets Expectations,Single,3
No,Finance and Operations,Senior Manager,90960.60040706371,48,Rarely,1,0,2,Very High,Meets Expectations,Single,6
Yes,Sales,Manager,64525.06507654555,59,Frequently,6,0,4,Low,Meets Expectations,Single,26
Yes,Marketing,Manager,72494.67416993315,62,Rarely,6,1,6,High,Meets Expectations,Single,1
No,Product Development,Director,116711.74517491032,49,None,19,12,3,Very High,Exceeds Expectations,Single,6
No,Marketing,Senior Manager,101261.85607252318,50,Rarely,6,0,2,Low,Meets Expectations,Married,3
No,Marketing,Senior Manager,86023.8000642851,47,Rarely,13,3,3,Medium,Meets Expectations,Single,5
No,IT and Analytics,Director,132343.65130793638,49,Rarely,3,1,3,Medium,Meets Expectations,Married,4
No,Product Development,Senior Manager,94035.81609652005,52,Frequently,10,0,3,Very High,Meets Expectations,Divorced,11
No,Research,Manager,67614.644124290935,46,Rarely,16,5,2,High,Meets Expectations,Divorced,3
No,Marketing,Vice President,203186.07541913088,43,None,5,1,2,High,Exceeds Expectations,Married,1
No,Sales,Vice President,182421.87540982067,51,Rarely,1,0,3,Very High,Exceptional,Married,3
No,Research,Associate,37432.18811300518,53,Frequently,9,5,3,Very High,Meets Expectations,Divorced,4
No,IT and Analytics,Manager,70241.33876046304,49,Frequently,11,4,1,Very High,Meets Expectations,Married,1
No,Product Development,Manager,78841.02519623068,47,Frequently,10,0,1,High,Meets Expectations,Single,1
Yes,Sales,Manager,70500.91985758366,60,Rarely,4,0,5,Very High,Minimally Effective,Single,18
No,IT and Analytics,Manager,74103.20488099969,53,Rarely,2,2,2,Very High,Exceeds Expectations,Single,2
No,Research,Director,120599.86594452651,48,Rarely,22,11,2,Very High,Exceptional,Married,4
No,Sales,Vice President,178303.595903525,48,Rarely,2,2,2,High,Exceeds Expectations,Married,6
No,Research,Senior Manager,99815.54343223275,48,Rarely,7,0,1,Very High,Meets Expectations,Divorced,1
Yes,Research,Associate,37146.94853321242,57,Rarely,5,0,5,Very High,Minimally Effective,Married,14
No,IT and Analytics,Senior Manager,91196.16330513326,49,Rarely,17,1,3,Very High,Exceptional,Married,16
Yes,Marketing,Manager,66368.36649324448,58,Rarely,9,1,4,Low,Exceeds Expectations,Married,2
No,Marketing,Vice President,167817.8559542831,42,None,33,15,1,High,Exceptional,Single,2
No,IT and Analytics,Vice President,171140.4069783718,49,Rarely,4,1,2,Medium,Exceeds Expectations,Married,4
Yes,Product Development,Associate,42009.71839268322,56,Rarely,3,1,6,High,Minimally Effective,Single,1
No,Finance and Operations,Senior Manager,104562.01954699378,47,Rarely,3,1,3,High,Exceeds Expectations,Divorced,1
No,Product Development,Director,124162.05513902349,47,None,3,2,4,Very High,Exceeds Expectations,Married,26
No,Sales,Associate,43891.083489623314,45,Rarely,1,0,1,Low,Exceeds Expectations,Divorced,19
No,Research,Director,119365.10914727335,51,Rarely,9,4,7,Very High,Meets Expectations,Divorced,24
No,Product Development,Senior Manager,85977.85072956755,57,Rarely,24,1,3,Very High,Minimally Effective,Married,1
No,IT and Analytics,Manager,69208.8370997911,45,Frequently,2,2,3,High,Exceeds Expectations,Divorced,3
No,Sales,Senior Manager,90036.18933025912,49,Rarely,2,0,4,Very High,Exceeds Expectations,Married,5
No,Finance and Operations,Senior Manager,96432.60648408624,47,Rarely,11,5,3,Low,Minimally Effective,Married,2
No,Marketing,Director,127208.80567969359,46,Rarely,3,0,3,Low,Meets Expectations,Married,1
No,Sales,Manager,64048.28144204346,51,Frequently,3,0,3,High,Meets Expectations,Married,7
Yes,Sales,Director,138604.5451719902,62,Frequently,1,0,6,High,Meets Expectations,Divorced,10
No,IT and Analytics,Senior Manager,86775.96628432795,48,Frequently,19,11,3,High,Meets Expectations,Single,2
No,Sales,Manager,61697.571397087864,48,Rarely,6,1,2,Very High,Exceeds Expectations,Single,15
No,Research,Manager,69898.7421217533,45,Rarely,3,0,3,Low,Exceeds Expectations,Single,17
No,IT and Analytics,Senior Manager,79702.15143584654,48,Rarely,3,0,3,Very High,Meets Expectations,Divorced,20
No,Marketing,Manager,61198.32925449151,46,Rarely,4,1,4,High,Exceptional,Married,1
No,IT and Analytics,Senior Manager,80731.64499421575,45,Rarely,9,7,3,Low,Meets Expectations,Divorced,2
No,Sales,Senior Manager,90335.02360502067,52,Rarely,21,3,3,High,Meets Expectations,Divorced,2
No,Marketing,Director,126171.06147809429,45,Rarely,1,0,3,Very High,Exceeds Expectations,Married,1
Yes,Sales,Associate,42069.83546517348,57,Frequently,5,1,5,Medium,Meets Expectations,Single,29
No,Research,Associate,33276.5365048842,49,Frequently,5,0,2,Medium,Meets Expectations,Married,7
No,Research,Senior Manager,97504.13014280633,47,None,8,7,7,Very High,Exceeds Expectations,Married,2
No,IT and Analytics,Senior Manager,100764.57041787077,50,Rarely,6,0,3,Low,Meets Expectations,Single,2
No,IT and Analytics,Manager,73228.9406274665,46,Rarely,7,7,7,Medium,Exceptional,Married,2
Yes,Product Development,Manager,81185.86897578495,55,Rarely,0,0,5,High,Meets Expectations,Single,2
No,Finance and Operations,Manager,63496.57910803739,44,Rarely,0,0,3,Medium,Exceeds Expectations,Married,2
No,Finance and Operations,Senior Manager,88991.1001901311,49,Rarely,9,7,2,Very High,Minimally Effective,Married,23
No,Research,Director,117411.71424232745,50,None,6,1,2,Low,Minimally Effective,Divorced,5
No,IT and Analytics,Associate,43126.09496443598,46,Rarely,20,4,3,Very High,Meets Expectations,Married,20
No,IT and Analytics,Senior Manager,91606.68395535371,51,Rarely,15,10,3,Very High,Meets Expectations,Married,6
No,IT and Analytics,Director,117305.98906330984,49,Rarely,36,4,2,Low,Exceptional,Single,1
Yes,Marketing,Senior Manager,92852.92967357034,57,None,10,9,3,Medium,Minimally Effective,Married,29
No,Product Development,Vice President,187029.5258030986,44,Rarely,5,0,2,Very High,Exceptional,Married,9
No,Research,Manager,66944.74090299068,52,Rarely,5,0,4,Very High,Exceptional,Married,6
No,Finance and Operations,Manager,76127.82867271363,52,Rarely,3,1,3,High,Meets Expectations,Single,3
